state,date,dex,num_devices,dex_a,num_devices_a,dex_income_1,num_devices_income_1,dex_income_1_a,num_devices_income_1_a,dex_income_2,num_devices_income_2,dex_income_2_a,num_devices_income_2_a,dex_income_3,num_devices_income_3,dex_income_3_a,num_devices_income_3_a,dex_income_4,num_devices_income_4,dex_income_4_a,num_devices_income_4_a,dex_education_1,num_devices_education_1,dex_education_1_a,num_devices_education_1_a,dex_education_2,num_devices_education_2,dex_education_2_a,num_devices_education_2_a,dex_education_3,num_devices_education_3,dex_education_3_a,num_devices_education_3_a,dex_education_4,num_devices_education_4,dex_education_4_a,num_devices_education_4_a,dex_race_asian,num_devices_race_asian,dex_race_asian_a,num_devices_race_asian_a,dex_race_black,num_devices_race_black,dex_race_black_a,num_devices_race_black_a,dex_race_hispanic,num_devices_race_hispanic,dex_race_hispanic_a,num_devices_race_hispanic_a,dex_race_white,num_devices_race_white,dex_race_white_a,num_devices_race_white_a
AL,2020-01-20,168.6549,500521,156.879,538092,137.4302,138099,129.8755,146132,161.7597,129058,152.9551,136487,207.5081,98120,196.7027,103510,284.5467,53947,270.4257,56764,136.6922,142383,129.5333,150252,159.4121,121125,150.5477,128257,205.8851,92040,194.719,97318,265.8307,70832,252.3158,74626,250.195,5733,237.5675,6038,156.3237,87405,147.9712,92338,188.8784,16385,178.882,17300,184.3334,306639,174.4734,323968
AL,2020-01-21,125.9105,511905,119.7829,538092,109.0632,140884,105.1465,146132,120.9427,131454,116.4829,136487,145.1574,100082,140.3501,103510,188.286,55245,183.2475,56764,101.4226,144875,97.793,150252,119.6964,123449,115.2093,128257,147.706,94104,142.8279,97318,190.2717,72505,184.8639,74626,193.8583,5863,188.2579,6038,121.2029,89389,117.3323,92338,140.2835,16733,135.6845,17300,132.6498,312542,127.9717,323968
AL,2020-01-22,128.2089,513193,122.2763,538092,112.7888,140932,108.7753,146132,123.4817,131931,119.3598,136487,148.3667,100298,143.7627,103510,189.254,55560,185.2398,56764,105.2151,145038,101.564,150252,123.2868,123876,119.0756,128257,151.3214,94149,146.3939,97318,188.8197,72916,184.493,74626,188.7843,5874,183.6786,6038,123.7667,89320,119.7216,92338,140.6167,16776,136.3522,17300,135.9206,313566,131.5564,323968
AL,2020-01-23,132.9296,519047,128.2247,538092,114.3275,142682,111.6284,146132,127.2778,132947,123.9767,136487,157.797,100726,153.5529,103510,200.2129,55476,195.67,56764,108.2613,146739,105.7301,150252,126.9746,125015,123.765,128257,157.1188,94552,152.6531,97318,200.973,72894,196.3086,74626,208.0106,5896,203.1339,6038,129.4287,90306,126.5806,92338,149.028,16896,145.5431,17300,140.5231,315578,136.8842,323968
AL,2020-01-24,200.8451,516432,192.7605,538092,175.1903,142159,170.4273,146132,201.2824,132623,195.584,136487,237.8042,100447,230.7672,103510,295.2172,55399,288.1181,56764,171.3626,146482,167.063,150252,200.2365,124564,194.4709,128257,236.5897,94358,229.3937,97318,287.2055,72523,279.1119,74626,282.56,5875,274.9513,6038,192.2896,89940,187.2963,92338,218.5927,16888,213.387,17300,217.135,314742,210.9518,323968
AL,2020-01-25,214.8053,502713,200.682,538092,187.1054,138423,177.2349,146132,219.6499,129760,208.8241,136487,261.8624,98639,249.5396,103510,301.4788,54285,288.3126,56764,190.2929,142891,180.9703,150252,218.7615,122038,208.154,128257,255.0459,92371,242.0811,97318,288.9947,70974,274.8521,74626,277.5833,5759,264.7597,6038,204.356,87622,193.9191,92338,228.1699,16507,217.7117,17300,234.7819,308114,223.2924,323968
AL,2020-01-26,133.0001,505685,124.9901,538092,110.4489,139540,105.4666,146132,133.2387,130042,126.9471,136487,161.185,98539,153.4442,103510,204.0799,54343,195.3759,56764,109.2811,143619,104.4568,150252,130.5812,122513,124.7331,128257,159.1224,92297,150.9127,97318,198.2817,71240,189.2851,74626,196.5219,5741,186.8506,6038,121.314,88296,116.0032,92338,154.5502,16472,147.1474,17300,144.5985,308860,137.8555,323968
AL,2020-01-27,127.7788,519440,123.3496,538092,112.6627,142677,109.999,146132,124.2427,133064,121.1267,136487,147.0959,100695,143.0956,103510,193.3226,55397,188.667,56764,105.0709,146769,102.6353,150252,123.2607,124979,120.1104,128257,153.0094,94454,148.5064,97318,189.9872,72963,185.7534,74626,194.7021,5888,189.8638,6038,123.4969,90501,121.0397,92338,145.653,16846,141.8296,17300,136.1965,315409,132.5984,323968
AL,2020-01-28,123.9079,519905,119.7199,538092,109.3424,142822,106.8657,146132,120.0222,133067,117.0148,136487,144.4758,100789,140.6779,103510,180.4095,55483,176.3382,56764,101.9933,146759,99.6222,150252,119.4076,125216,116.5764,128257,147.1321,94671,143.1301,97318,182.6,72911,178.4036,74626,178.7853,5901,174.7451,6038,120.1763,90397,117.6497,92338,134.44,16864,131.0527,17300,131.7399,315843,128.4361,323968
AL,2020-01-29,124.956,522963,121.4428,538092,107.4953,143542,105.5901,146132,119.8788,133688,117.4203,136487,149.1889,101183,145.835,103510,187.4071,55555,183.4156,56764,101.9954,147674,100.2454,150252,120.0157,125551,117.4836,128257,147.2761,95112,143.9377,97318,188.8374,73049,184.8469,74626,181.4505,5912,177.6833,6038,120.0913,90930,118.2598,92338,138.0623,16950,135.2669,17300,133.1617,317023,130.3069,323968
