STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.989147,5.1e-05,5.9e-05,0.000381,0.000274,0.000395,0.000499,0.000133,8.1e-05,7.8e-05,7.1e-05,0.002907,0.000102,0.001634,8.2e-05,4.2e-05,0.000157,0.000189,0.000219,0.000351,7.4e-05,0.000773,9.6e-05,0.000252,9.7e-05,7.2e-05,0.000867,5.8e-05,0.000377,0.000195,8.5e-05,4.2e-05,0.000174,0.000593,6.1e-05,0.00013,0.000127,0.001618,8.6e-05,5.3e-05,5.8e-05,0.000367,7.7e-05,8.2e-05,0.000309,0.000137,0.000418,0.004441,0.00065,6.9e-05,0.000453
AL,0.001217,0.977005,0.015756,0.003529,0.001751,0.003333,0.002639,0.003555,0.003036,0.023166,0.069858,0.001426,0.006957,0.005374,0.005728,0.006613,0.004197,0.013238,0.029415,0.002721,0.003446,0.00353,0.003916,0.002759,0.007556,0.107414,0.004638,0.008949,0.003133,0.005527,0.003061,0.003126,0.006523,0.004077,0.002921,0.006559,0.00614,0.002441,0.004139,0.001842,0.015261,0.003528,0.049161,0.006014,0.005007,0.008341,0.004136,0.001512,0.003683,0.005796,0.007651
AR,0.00096,0.009268,0.973866,0.004074,0.001682,0.003714,0.001632,0.002123,0.003781,0.002195,0.005453,0.001042,0.007913,0.004321,0.007359,0.007624,0.012787,0.008981,0.024051,0.001865,0.003162,0.001985,0.003322,0.003287,0.037909,0.036,0.003659,0.003186,0.004707,0.00585,0.002258,0.001879,0.01042,0.003867,0.001703,0.003944,0.05852,0.002445,0.003537,0.00186,0.004094,0.007216,0.032019,0.014132,0.003359,0.003897,0.002789,0.001678,0.003273,0.004658,0.012031
AZ,0.006339,0.002363,0.004255,0.983839,0.021895,0.014914,0.001921,0.003688,0.00229,0.002389,0.002982,0.012287,0.008212,0.021261,0.005817,0.003908,0.006736,0.002677,0.003932,0.00208,0.002238,0.001692,0.002771,0.00655,0.005636,0.004037,0.010752,0.002261,0.012547,0.00938,0.001909,0.0021,0.058963,0.059361,0.001827,0.00251,0.007583,0.010548,0.002435,0.001523,0.00208,0.008669,0.003362,0.00587,0.029901,0.002755,0.00165,0.008291,0.003986,0.002124,0.021746
CA,0.016135,0.005374,0.007239,0.080937,0.992232,0.02317,0.008532,0.014725,0.009757,0.005667,0.006495,0.075231,0.009385,0.030818,0.010063,0.008599,0.011068,0.005949,0.006443,0.009746,0.007341,0.009405,0.005899,0.008607,0.010713,0.00526,0.019739,0.006637,0.00761,0.013679,0.011328,0.009324,0.034783,0.176339,0.008871,0.005795,0.009196,0.041127,0.006992,0.00758,0.005122,0.008158,0.008687,0.010617,0.047837,0.007756,0.008366,0.028403,0.00772,0.003922,0.028466
CO,0.00557,0.002774,0.005896,0.012516,0.00577,0.980389,0.003722,0.005864,0.00313,0.004023,0.003134,0.008297,0.01004,0.015495,0.006478,0.004122,0.021176,0.003885,0.004944,0.00449,0.003677,0.002078,0.00362,0.006928,0.00958,0.003965,0.028228,0.002709,0.017205,0.035698,0.005026,0.00269,0.057451,0.016256,0.002181,0.004331,0.00952,0.00738,0.004324,0.002196,0.002421,0.020101,0.003843,0.006944,0.024706,0.004206,0.003439,0.006286,0.005217,0.002443,0.210687
CT,0.001537,0.001221,0.001599,0.000885,0.001481,0.002049,0.958484,0.008358,0.010408,0.002657,0.002273,0.000727,0.003429,0.000956,0.003006,0.004321,0.002314,0.003439,0.001079,0.104495,0.00706,0.03261,0.002644,0.001917,0.002336,0.001227,0.001781,0.002321,0.002542,0.002024,0.059221,0.021282,0.001371,0.001586,0.042555,0.004548,0.0028,0.001343,0.009214,0.183161,0.002951,0.005428,0.002012,0.000842,0.00146,0.005313,0.12179,0.001144,0.003529,0.006164,0.007928
DC,0.000512,0.000558,0.000563,0.000574,0.000599,0.001209,0.002434,0.867286,0.01946,0.001582,0.001416,0.000946,0.000648,0.00031,0.00101,0.000761,0.000744,0.000891,0.00082,0.002051,0.167663,0.001505,0.000783,0.000587,0.000637,0.000524,0.000706,0.002861,0.000361,0.000534,0.002022,0.005444,0.00064,0.001105,0.003203,0.000975,0.000477,0.00036,0.007045,0.001913,0.001658,0.000463,0.001371,0.000597,0.000905,0.071824,0.003067,0.000487,0.000443,0.011092,0.000478
DE,0.000224,0.000612,0.001442,0.000432,0.000445,0.000569,0.004658,0.029026,0.935521,0.001319,0.001061,0.000521,0.001153,0.000433,0.000748,0.001097,0.000423,0.000968,0.000537,0.002917,0.066118,0.002784,0.000594,0.000376,0.000672,0.000891,0.000562,0.003273,0.000295,0.000645,0.004204,0.028656,0.00098,0.000593,0.004192,0.002099,0.000432,0.000226,0.03701,0.003879,0.0018,0.000463,0.0014,0.000367,0.000413,0.010119,0.004741,0.000252,0.000457,0.005268,0.001007
FL,0.007459,0.070117,0.010539,0.007943,0.005928,0.016096,0.019383,0.031255,0.018904,0.988955,0.065256,0.006816,0.01468,0.006297,0.018047,0.015909,0.010955,0.016713,0.02161,0.021205,0.019136,0.018489,0.014946,0.015405,0.012447,0.028687,0.007591,0.023654,0.012941,0.01171,0.019671,0.021379,0.008999,0.012742,0.021364,0.015972,0.008376,0.004706,0.016659,0.020686,0.032024,0.010074,0.022671,0.00931,0.008523,0.020213,0.020124,0.005103,0.014482,0.012918,0.012886
