state,date,density_dex,num_devices
AL,2020-01-20,66.877502,499012
AL,2020-01-21,73.828598,510377
AL,2020-01-22,72.989502,512102
AL,2020-01-23,74.629997,518147
AL,2020-01-24,85.555199,515504
AL,2020-01-25,84.438599,501874
AL,2020-01-26,62.976799,504931
AL,2020-01-27,72.516502,518708
AL,2020-01-28,73.57,519096
AL,2020-01-29,73.442802,522119
AL,2020-01-30,78.660698,519154
AL,2020-01-31,88.914703,520863
AL,2020-02-01,92.300102,511309
AL,2020-02-02,66.389999,510511
AL,2020-02-03,76.113701,523815
AL,2020-02-04,79.210999,531938
AL,2020-02-05,73.368301,537243
AL,2020-02-06,72.227898,532222
AL,2020-02-07,96.330002,530261
AL,2020-02-08,90.574699,518022
AL,2020-02-09,71.5756,516948
AL,2020-02-10,74.411499,532908
AL,2020-02-11,78.702301,531263
AL,2020-02-12,80.0895,534292
AL,2020-02-13,84.578598,505227
AL,2020-02-14,103.2293,516510
AL,2020-02-15,94.226997,513158
AL,2020-02-16,71.445396,507509
AL,2020-02-17,82.504997,519745
AL,2020-02-18,74.956001,530054
AL,2020-02-19,81.9692,527209
AL,2020-02-20,76.443298,528743
AL,2020-02-21,91.960999,525902
AL,2020-02-22,90.507401,514569
AL,2020-02-23,69.663399,507145
AL,2020-02-24,75.1558,526610
AL,2020-02-25,82.119301,527633
AL,2020-02-26,84.730598,523528
AL,2020-02-27,87.4207,531902
AL,2020-02-28,105.7848,521334
AL,2020-02-29,110.2804,511833
AL,2020-03-01,78.866898,512113
AL,2020-03-02,77.940201,528113
AL,2020-03-03,82.171799,530474
AL,2020-03-04,77.123299,528813
AL,2020-03-05,82.275803,525011
AL,2020-03-06,97.944603,515959
AL,2020-03-07,103.5387,507060
AL,2020-03-08,75.730698,498492
AL,2020-03-09,65.352997,512566
AL,2020-03-10,72.481499,509261
AL,2020-03-11,58.302101,469207
AL,2020-03-12,56.4398,497898
AL,2020-03-13,66.010696,506177
AL,2020-03-14,70.963097,494290
AL,2020-03-15,53.294899,497883
AL,2020-03-16,49.8484,502932
AL,2020-03-17,43.337601,499849
AL,2020-03-18,40.3549,491251
AL,2020-03-19,40.034,492472
AL,2020-03-20,42.907398,498101
AL,2020-03-21,31.351801,483029
AL,2020-03-22,24.375,473623
AL,2020-03-23,26.734699,482037
AL,2020-03-24,31.7523,488820
AL,2020-03-25,33.677601,481087
AL,2020-03-26,31.159201,479040
AL,2020-03-27,39.122398,482127
AL,2020-03-28,43.243698,482315
AL,2020-03-29,28.191799,477795
AL,2020-03-30,26.807199,491263
AL,2020-03-31,26.613501,493109
AL,2020-04-01,31.615499,475454
AL,2020-04-02,31.4494,470684
AL,2020-04-03,47.099899,477205
AL,2020-04-04,36.454399,464168
AL,2020-04-05,18.0683,456834
AL,2020-04-06,22.2686,463730
AL,2020-04-07,22.422001,476138
AL,2020-04-08,24.313499,469565
AL,2020-04-09,28.0928,474193
AL,2020-04-10,38.881302,472884
AL,2020-04-11,42.665298,470687
AL,2020-04-12,13.5258,464831
AL,2020-04-13,26.331699,465817
AL,2020-04-14,24.0217,414461
AL,2020-04-15,30.1744,401124
AL,2020-04-16,29.952,399663
AL,2020-04-17,35.525501,402769
AL,2020-04-18,40.467201,420700
AL,2020-04-19,21.639999,451721
AL,2020-04-20,33.454601,452605
AL,2020-04-21,35.1106,446598
AL,2020-04-22,35.1828,446293
AL,2020-04-23,30.0555,445314
AL,2020-04-24,45.741798,446258
AL,2020-04-25,49.978401,459403
AL,2020-04-26,37.295799,449071
AL,2020-04-27,35.865101,434116
AL,2020-04-28,36.4403,440831
AL,2020-04-29,33.9939,440320
AL,2020-04-30,41.4538,434355
AL,2020-05-01,53.3857,433278
AL,2020-05-02,61.1404,446152
AL,2020-05-03,44.988499,450163
AL,2020-05-04,44.079899,443698
AL,2020-05-05,46.751801,447381
AL,2020-05-06,46.352299,446808
AL,2020-05-07,50.213001,445247
AL,2020-05-08,60.178501,448429
AL,2020-05-09,86.455002,457752
AL,2020-05-10,52.573502,456267
AL,2020-05-11,47.086399,440937
AL,2020-05-12,48.9147,441424
AL,2020-05-13,50.925598,444836
AL,2020-05-14,53.325298,445273
AL,2020-05-15,63.932598,449805
AL,2020-05-16,79.655403,458184
AL,2020-05-17,54.5994,457527
AL,2020-05-18,56.9021,467659
AL,2020-05-19,55.6968,449870
AL,2020-05-20,54.831699,448412
AL,2020-05-21,59.720402,448776
AL,2020-05-22,71.340103,456809
AL,2020-05-23,84.673401,467831
AL,2020-05-24,71.078903,456663
AL,2020-05-25,54.298698,442959
AL,2020-05-26,56.601898,470918
AL,2020-05-27,53.896999,451465
AL,2020-05-28,60.685299,447077
AL,2020-05-29,76.757797,470211
AL,2020-05-30,72.1688,443364
AL,2020-05-31,62.865101,452238
AL,2020-06-01,56.194099,447313
AL,2020-06-02,54.709202,446698
AL,2020-06-03,58.409199,449376
AK,2020-01-20,44.227699,30999
AK,2020-01-21,45.2841,31826
AK,2020-01-22,44.750801,31904
AK,2020-01-23,47.603199,31902
AK,2020-01-24,48.483898,31474
AK,2020-01-25,44.5345,31038
AK,2020-01-26,39.864399,30895
AK,2020-01-27,42.116501,32422
AK,2020-01-28,46.246498,32730
AK,2020-01-29,44.8452,32281
AK,2020-01-30,45.756401,31513
AK,2020-01-31,51.818901,30985
AK,2020-02-01,50.272999,30110
AK,2020-02-02,32.652302,30044
AK,2020-02-03,45.2691,31450
AK,2020-02-04,45.8834,32000
AK,2020-02-05,46.201199,33075
AK,2020-02-06,48.303799,32555
AK,2020-02-07,52.710098,32499
AK,2020-02-08,47.7659,31869
AK,2020-02-09,42.484001,31578
AK,2020-02-10,47.428101,32845
AK,2020-02-11,49.280399,33130
AK,2020-02-12,44.466202,32212
AK,2020-02-13,50.044399,31591
AK,2020-02-14,62.245399,32041
AK,2020-02-15,48.257,31435
AK,2020-02-16,41.7598,31355
AK,2020-02-17,48.821098,32311
AK,2020-02-18,49.290699,33190
AK,2020-02-19,48.937599,32945
AK,2020-02-20,51.7672,33205
AK,2020-02-21,52.486599,32799
AK,2020-02-22,51.111,31850
AK,2020-02-23,40.243301,31274
AK,2020-02-24,51.312302,33253
AK,2020-02-25,48.151901,33133
AK,2020-02-26,52.810101,32946
AK,2020-02-27,55.472301,33430
AK,2020-02-28,60.205799,32746
AK,2020-02-29,58.123501,32531
AK,2020-03-01,47.4412,32199
AK,2020-03-02,51.422699,32761
AK,2020-03-03,54.3979,32850
AK,2020-03-04,52.984299,33095
AK,2020-03-05,54.639801,32990
AK,2020-03-06,60.639,32458
AK,2020-03-07,54.563301,31482
AK,2020-03-08,41.462101,30988
AK,2020-03-09,30.1593,31160
AK,2020-03-10,41.225399,30724
AK,2020-03-11,26.882999,28065
AK,2020-03-12,23.329,30703
AK,2020-03-13,30.116501,30511
AK,2020-03-14,43.850498,30556
AK,2020-03-15,37.511501,30702
AK,2020-03-16,31.1509,31006
AK,2020-03-17,29.0546,30817
AK,2020-03-18,23.2931,30470
AK,2020-03-19,21.499901,30767
AK,2020-03-20,38.645901,31158
AK,2020-03-21,27.635,30063
AK,2020-03-22,14.6447,29166
AK,2020-03-23,17.753099,30425
AK,2020-03-24,29.334999,30369
AK,2020-03-25,26.652901,30214
AK,2020-03-26,18.5823,30047
AK,2020-03-27,17.910801,30104
AK,2020-03-28,25.4149,29669
AK,2020-03-29,18.237301,29783
AK,2020-03-30,17.538799,30671
AK,2020-03-31,17.9545,30264
AK,2020-04-01,18.110201,29063
AK,2020-04-02,17.419901,28393
AK,2020-04-03,30.442301,28842
AK,2020-04-04,25.448999,28003
AK,2020-04-05,19.6078,28097
AK,2020-04-06,14.0771,28025
AK,2020-04-07,14.9284,28594
AK,2020-04-08,16.8783,28354
AK,2020-04-09,16.481501,28276
AK,2020-04-10,17.3277,28199
AK,2020-04-11,30.1938,27848
AK,2020-04-12,14.4284,26589
AK,2020-04-13,12.7202,26457
AK,2020-04-14,12.9695,25116
AK,2020-04-15,15.7865,22035
AK,2020-04-16,14.3876,22344
AK,2020-04-17,16.0028,22341
AK,2020-04-18,20.9121,25016
AK,2020-04-19,19.007299,27126
AK,2020-04-20,18.947701,25031
