state,date,res_dex,num_devices
AL,2020-01-20,73.255898,499012
AL,2020-01-21,110.9045,510377
AL,2020-01-22,106.9055,512102
AL,2020-01-23,110.7841,518147
AL,2020-01-24,126.9914,515504
AL,2020-01-25,82.526604,501874
AL,2020-01-26,53.8172,504931
AL,2020-01-27,120.7934,870929
AL,2020-01-28,127.8849,875609
AL,2020-01-29,120.756,878262
AL,2020-01-30,134.3732,878755
AL,2020-01-31,155.3224,887237
AL,2020-02-01,107.2405,848078
AL,2020-02-02,74.101898,840850
AL,2020-02-03,108.5967,523815
AL,2020-02-04,109.9096,531938
AL,2020-02-05,97.828499,537243
AL,2020-02-06,100.6661,532222
AL,2020-02-07,134.2851,530261
AL,2020-02-08,97.790497,518022
AL,2020-02-09,67.419296,516948
AL,2020-02-10,104.3251,532908
AL,2020-02-11,110.1574,531263
AL,2020-02-12,110.5782,534292
AL,2020-02-13,120.5249,505227
AL,2020-02-14,152.21069,516510
AL,2020-02-15,112.3645,513158
AL,2020-02-16,71.011101,507509
AL,2020-02-17,95.227402,519745
AL,2020-02-18,117.4254,530054
AL,2020-02-19,120.3578,527209
AL,2020-02-20,112.2556,528743
AL,2020-02-21,146.2054,525902
AL,2020-02-22,113.0428,514569
AL,2020-02-23,72.308296,507145
AL,2020-02-24,107.2664,526610
AL,2020-02-25,127.4259,527633
AL,2020-02-26,122.2289,523528
AL,2020-02-27,132.2951,531902
AL,2020-02-28,155.1114,521334
AL,2020-02-29,122.561,511833
AL,2020-03-01,76.266403,512113
AL,2020-03-02,110.4124,528113
AL,2020-03-03,136.5141,530474
AL,2020-03-04,110.4428,528813
AL,2020-03-05,123.7923,525011
AL,2020-03-06,151.3819,515959
AL,2020-03-07,115.4731,507060
AL,2020-03-08,73.4244,498492
AL,2020-03-09,120.7134,512566
AL,2020-03-10,110.1208,509261
AL,2020-03-11,105.6509,469207
AL,2020-03-12,119.5181,497898
AL,2020-03-13,117.6272,506177
AL,2020-03-14,78.724701,494290
AL,2020-03-15,52.6021,497883
AL,2020-03-16,94.156998,502932
AL,2020-03-17,78.927498,499849
AL,2020-03-18,73.1381,491251
AL,2020-03-19,64.305702,492472
AL,2020-03-20,53.358898,498101
AL,2020-03-21,33.886299,483029
AL,2020-03-22,34.914902,473623
AL,2020-03-23,47.2771,482037
AL,2020-03-24,50.687901,488820
AL,2020-03-25,58.1898,481087
AL,2020-03-26,61.653801,479040
AL,2020-03-27,72.637802,482127
AL,2020-03-28,59.825802,482315
AL,2020-03-29,38.618999,477795
AL,2020-03-30,51.938499,491263
AL,2020-03-31,45.5881,493109
AL,2020-04-01,53.2533,475454
AL,2020-04-02,52.852501,470684
AL,2020-04-03,64.752701,477205
AL,2020-04-04,50.4851,464168
AL,2020-04-05,25.580601,456834
AL,2020-04-06,40.868099,463730
AL,2020-04-07,38.0406,476138
AL,2020-04-08,41.756302,469565
AL,2020-04-09,45.183701,474193
AL,2020-04-10,59.897701,472884
AL,2020-04-11,50.647701,470687
AL,2020-04-12,14.8042,464831
AL,2020-04-13,43.580799,465817
AL,2020-04-14,42.632599,414461
AL,2020-04-15,43.557701,401124
AL,2020-04-16,42.184399,399663
AL,2020-04-17,50.698502,402769
AL,2020-04-18,55.489799,420700
AL,2020-04-19,22.358299,451721
AL,2020-04-20,42.918301,452605
AL,2020-04-21,48.151199,446598
AL,2020-04-22,46.439499,446293
AL,2020-04-23,36.4263,445314
AL,2020-04-24,60.898701,446258
AL,2020-04-25,65.936203,459403
AL,2020-04-26,44.067299,449071
AL,2020-04-27,49.826599,434116
AL,2020-04-28,49.902,440831
AL,2020-04-29,41.655602,440320
AL,2020-04-30,46.810299,434355
AL,2020-05-01,60.5439,433278
AL,2020-05-02,71.108803,446152
AL,2020-05-03,45.8512,450163
AL,2020-05-04,63.080601,443698
AL,2020-05-05,68.472603,447381
AL,2020-05-06,63.019699,446808
AL,2020-05-07,71.496803,445247
AL,2020-05-08,79.743896,448429
AL,2020-05-09,120.0998,457752
AL,2020-05-10,67.808502,456267
AL,2020-05-11,65.278099,440937
AL,2020-05-12,66.099403,441424
AL,2020-05-13,74.492599,444836
AL,2020-05-14,78.747704,445273
AL,2020-05-15,88.063599,449805
AL,2020-05-16,112.8436,458184
AL,2020-05-17,63.6731,457527
AL,2020-05-18,82.695602,467659
AL,2020-05-19,80.445297,449870
AL,2020-05-20,75.764297,448412
AL,2020-05-21,87.989601,448776
AL,2020-05-22,96.944397,456809
AL,2020-05-23,115.5842,467831
AL,2020-05-24,84.247101,456663
AL,2020-05-25,58.123699,442959
AL,2020-05-26,83.459396,470918
AL,2020-05-27,69.396301,451465
AL,2020-05-28,74.907799,447077
AL,2020-05-29,95.383003,470211
AL,2020-05-30,71.679901,443364
AL,2020-05-31,68.741096,452238
AL,2020-06-01,71.250999,447313
AL,2020-06-02,71.459297,446698
AL,2020-06-03,88.632103,449376
AK,2020-01-20,41.7953,30999
AK,2020-01-21,55.932301,31826
AK,2020-01-22,54.619801,31904
AK,2020-01-23,54.680302,31902
AK,2020-01-24,60.046101,31474
AK,2020-01-25,35.733601,31038
AK,2020-01-26,28.8717,30895
AK,2020-01-27,60.132401,51288
AK,2020-01-28,69.9832,52070
AK,2020-01-29,67.080101,51398
AK,2020-01-30,67.821503,50229
AK,2020-01-31,78.3927,49777
AK,2020-02-01,52.326401,46765
AK,2020-02-02,35.107201,44981
