state,date,dex,num_devices,dex_a,num_devices_a,dex_income_1,num_devices_income_1,dex_income_1_a,num_devices_income_1_a,dex_income_2,num_devices_income_2,dex_income_2_a,num_devices_income_2_a,dex_income_3,num_devices_income_3,dex_income_3_a,num_devices_income_3_a,dex_income_4,num_devices_income_4,dex_income_4_a,num_devices_income_4_a,dex_education_1,num_devices_education_1,dex_education_1_a,num_devices_education_1_a,dex_education_2,num_devices_education_2,dex_education_2_a,num_devices_education_2_a,dex_education_3,num_devices_education_3,dex_education_3_a,num_devices_education_3_a,dex_education_4,num_devices_education_4,dex_education_4_a,num_devices_education_4_a,dex_race_asian,num_devices_race_asian,dex_race_asian_a,num_devices_race_asian_a,dex_race_black,num_devices_race_black,dex_race_black_a,num_devices_race_black_a,dex_race_hispanic,num_devices_race_hispanic,dex_race_hispanic_a,num_devices_race_hispanic_a,dex_race_white,num_devices_race_white,dex_race_white_a,num_devices_race_white_a
AL,2020-01-20,169.3337,499012,157.2836,537243,139.8325,133839,131.7052,142098,165.3788,125936,155.8439,133641,211.1279,95703,199.3662,101349,289.6122,53001,273.7993,56062,139.4308,138611,131.7175,146728,162.9972,118151,153.3242,125605,208.9698,89721,196.9865,95179,271.48,68908,256.4414,72949,254.435,5569,240.0707,5902,159.3244,84840,150.1898,90000,193.9125,15872,182.5214,16862,187.8756,299149,177.2222,317132
AL,2020-01-21,126.4763,510377,120.1515,537243,110.7451,136391,106.2973,142098,123.4123,128323,118.5013,133641,147.8057,97717,142.5088,101349,193.9217,54332,187.9375,56062,103.5548,140933,99.4649,146728,122.2336,120461,117.2277,125605,150.415,91772,145.0308,95179,194.1105,70610,187.8866,72949,196.2025,5702,189.5539,5902,124.1945,86755,119.7155,90000,142.8602,16203,137.2761,16862,135.2098,304971,130.0249,317132
AL,2020-01-22,128.5769,512102,122.56,537243,114.1824,136723,109.8634,142098,126.1391,128812,121.5812,133641,151.6615,98034,146.7008,101349,193.7181,54637,188.7941,56062,107.519,141273,103.5217,146728,125.6233,121003,121.0207,125605,154.3814,91965,149.1683,95179,192.3132,70992,187.1541,72949,191.1823,5719,185.2597,5902,126.1091,86807,121.6349,90000,144.8927,16266,139.7645,16862,138.592,306249,133.8359,317132
AL,2020-01-23,133.426,518147,128.6834,537243,115.6048,138312,112.5246,142098,129.6596,129842,125.9738,133641,160.8574,98483,156.3086,101349,206.0565,54616,200.7417,56062,110.7747,142837,107.8371,146728,128.6409,122191,125.1443,125605,160.3695,92304,155.5254,95179,205.1606,71042,199.7974,72949,206.1977,5733,200.3008,5902,132.1337,87793,128.8926,90000,151.528,16390,147.2833,16862,143.3468,308191,139.3055,317132
AL,2020-01-24,201.3351,515504,193.1883,537243,178.2221,138167,173.2918,142098,204.1405,129793,198.2625,133641,241.674,98427,234.7063,101349,303.7352,54558,295.5868,56062,175.0271,142943,170.5121,146728,203.4783,122037,197.6982,125605,240.1798,92266,232.829,95179,293.1253,70773,284.3817,72949,285.0819,5732,276.8484,5902,195.78,87600,190.5587,90000,221.9743,16422,216.174,16862,221.1271,308019,214.7731,317132
AL,2020-01-25,215.3442,501874,201.1672,537243,190.2979,134746,180.4521,142098,223.741,127066,212.7332,133641,265.6833,96657,253.3834,101349,306.543,53542,292.7639,56062,194.1519,139623,184.7505,146728,222.5558,119572,211.8661,125605,258.8696,90403,245.8798,95179,293.7159,69357,279.2533,72949,281.7992,5620,268.3487,5902,208.113,85425,197.5336,90000,232.0626,16072,221.1805,16862,238.7866,301786,227.2316,317132
AL,2020-01-26,133.5178,504931,125.4875,537243,112.768,135783,107.7565,142098,135.9174,127406,129.5762,133641,164.2423,96554,156.4717,101349,208.3958,53586,199.1919,56062,111.8354,140381,106.9977,146728,133.8849,120004,127.9147,125605,162.0321,90329,153.7755,95179,201.4895,69597,192.2311,72949,196.0072,5602,186.0337,5902,124.0648,86052,118.6224,90000,155.8236,16044,148.2617,16862,147.7275,302536,140.9284,317132
AL,2020-01-27,128.0645,518708,123.6463,537243,113.9976,138865,111.4039,142098,126.7914,130196,123.523,133641,150.1521,98664,146.1742,101349,197.4286,54602,192.287,56062,107.2082,143360,104.7474,146728,125.9536,122409,122.7487,125605,155.5442,92446,151.0778,95179,192.863,71216,188.2813,72949,196.3446,5753,191.3856,5902,125.6639,88133,123.0572,90000,146.8315,16396,142.7741,16862,138.8289,308853,135.2049,317132
AL,2020-01-28,124.2175,519096,120.0217,537243,111.2434,138972,108.7961,142098,121.9467,130257,118.8588,133641,146.564,98687,142.7144,101349,186.0749,54661,181.4248,56062,103.961,143443,101.6335,146728,121.5327,122661,118.6842,125605,149.6062,92549,145.4723,95179,186.8295,71091,182.071,72949,180.4396,5761,176.1155,5902,122.4124,88036,119.7402,90000,137.9396,16428,134.3896,16862,134.227,309201,130.8702,317132
AL,2020-01-29,125.2685,522119,121.7421,537243,109.4299,139563,107.4777,142098,122.0946,130900,119.5904,133641,151.5812,99125,148.2549,101349,193.5252,54805,189.1861,56062,104.3358,144230,102.5595,146728,122.2069,122992,119.6646,125605,149.9084,92984,146.4513,95179,193.5136,71363,189.3064,72949,185.6476,5773,181.5768,5902,122.6622,88483,120.594,90000,140.8058,16522,137.9594,16862,135.8999,310448,133.0355,317132
