county,device_count_t,date
1001,7473,2020-04-10
1003,26264,2020-04-10
1005,2789,2020-04-10
1007,3146,2020-04-10
1009,8428,2020-04-10
1013,2299,2020-04-10
1015,13720,2020-04-10
1017,4333,2020-04-10
1019,4152,2020-04-10
1021,6358,2020-04-10
1023,1527,2020-04-10
1025,2997,2020-04-10
1027,1796,2020-04-10
1029,2588,2020-04-10
1031,7091,2020-04-10
1033,8085,2020-04-10
1039,5325,2020-04-10
1041,1939,2020-04-10
1043,12563,2020-04-10
1045,6631,2020-04-10
1047,3123,2020-04-10
1049,8349,2020-04-10
1051,13146,2020-04-10
1053,4283,2020-04-10
1055,12244,2020-04-10
1057,2412,2020-04-10
1059,4030,2020-04-10
1061,4138,2020-04-10
1065,1923,2020-04-10
1067,2802,2020-04-10
1069,14749,2020-04-10
1071,6555,2020-04-10
1073,68152,2020-04-10
1075,2120,2020-04-10
1077,11636,2020-04-10
1079,4447,2020-04-10
1081,17385,2020-04-10
1083,12486,2020-04-10
1087,2281,2020-04-10
1089,36511,2020-04-10
1091,2773,2020-04-10
1093,4778,2020-04-10
1095,12480,2020-04-10
1097,38542,2020-04-10
1099,2175,2020-04-10
1101,19592,2020-04-10
1103,15230,2020-04-10
1107,2212,2020-04-10
1109,3920,2020-04-10
1111,3208,2020-04-10
1113,7555,2020-04-10
1115,14601,2020-04-10
1117,29073,2020-04-10
1121,11360,2020-04-10
1123,5937,2020-04-10
1125,20857,2020-04-10
1127,9444,2020-04-10
1129,2194,2020-04-10
1133,3924,2020-04-10
2020,11481,2020-04-10
2090,3938,2020-04-10
2110,954,2020-04-10
2122,2444,2020-04-10
2170,5458,2020-04-10
4003,7128,2020-04-10
4005,6887,2020-04-10
4007,3065,2020-04-10
4009,1772,2020-04-10
4012,2378,2020-04-10
4013,231686,2020-04-10
4015,14901,2020-04-10
4017,4963,2020-04-10
4019,47852,2020-04-10
4021,27414,2020-04-10
4023,2106,2020-04-10
4025,15530,2020-04-10
4027,7846,2020-04-10
5001,2119,2020-04-10
5003,2283,2020-04-10
5005,3759,2020-04-10
5007,28056,2020-04-10
5009,3667,2020-04-10
5015,2717,2020-04-10
5019,3273,2020-04-10
5021,1851,2020-04-10
5023,3540,2020-04-10
5027,1810,2020-04-10
5029,3439,2020-04-10
5031,12463,2020-04-10
5033,7899,2020-04-10
5035,5295,2020-04-10
5037,2221,2020-04-10
5043,2102,2020-04-10
5045,14110,2020-04-10
5047,2500,2020-04-10
5051,11552,2020-04-10
5055,4201,2020-04-10
5057,2626,2020-04-10
5059,4639,2020-04-10
5061,1830,2020-04-10
5063,3332,2020-04-10
5067,2000,2020-04-10
5069,6203,2020-04-10
5071,2872,2020-04-10
5083,2298,2020-04-10
5085,10949,2020-04-10
5087,1879,2020-04-10
5091,5972,2020-04-10
5093,4942,2020-04-10
5103,1992,2020-04-10
5111,3022,2020-04-10
5113,1948,2020-04-10
5115,7657,2020-04-10
5119,38648,2020-04-10
5121,1858,2020-04-10
5125,16666,2020-04-10
5131,13604,2020-04-10
5133,1736,2020-04-10
5135,2174,2020-04-10
5139,3779,2020-04-10
5141,2216,2020-04-10
5143,21330,2020-04-10
5145,9818,2020-04-10
6001,49785,2020-04-10
6005,2262,2020-04-10
6007,9140,2020-04-10
6009,2715,2020-04-10
6013,42438,2020-04-10
6015,1126,2020-04-10
6017,10672,2020-04-10
6019,38320,2020-04-10
6021,1869,2020-04-10
6023,4703,2020-04-10
6025,5510,2020-04-10
6029,37085,2020-04-10
6031,6842,2020-04-10
6033,2671,2020-04-10
6035,1392,2020-04-10
6037,303095,2020-04-10
6039,7120,2020-04-10
6041,6929,2020-04-10
6045,3134,2020-04-10
6047,11420,2020-04-10
6051,736,2020-04-10
6053,11883,2020-04-10
6055,5213,2020-04-10
6057,5267,2020-04-10
6059,126626,2020-04-10
6061,25126,2020-04-10
6065,106647,2020-04-10
6067,66001,2020-04-10
6069,2947,2020-04-10
6071,100910,2020-04-10
6073,115456,2020-04-10
6075,13109,2020-04-10
6077,32233,2020-04-10
6079,11807,2020-04-10
6081,23420,2020-04-10
6083,12723,2020-04-10
6085,56405,2020-04-10
6087,7595,2020-04-10
6089,9584,2020-04-10
6093,2837,2020-04-10
6095,18764,2020-04-10
6097,15623,2020-04-10
6099,24548,2020-04-10
6101,5271,2020-04-10
6103,4063,2020-04-10
6107,18425,2020-04-10
6109,2755,2020-04-10
6111,32393,2020-04-10
6113,10016,2020-04-10
6115,4611,2020-04-10
8001,36378,2020-04-10
8005,43050,2020-04-10
8013,15801,2020-04-10
8014,6196,2020-04-10
8029,1794,2020-04-10
8031,36740,2020-04-10
8035,27704,2020-04-10
8037,2238,2020-04-10
8039,2708,2020-04-10
8041,41601,2020-04-10
8043,3006,2020-04-10
8045,2884,2020-04-10
8049,968,2020-04-10
8059,37205,2020-04-10
8067,2457,2020-04-10
8069,21949,2020-04-10
8075,2128,2020-04-10
8077,8874,2020-04-10
8083,1293,2020-04-10
8085,2286,2020-04-10
8087,2906,2020-04-10
8089,1450,2020-04-10
8097,674,2020-04-10
8101,9952,2020-04-10
8107,1206,2020-04-10
8117,1643,2020-04-10
8119,1919,2020-04-10
8123,24690,2020-04-10
9001,44144,2020-04-10
9003,49950,2020-04-10
9005,11596,2020-04-10
9007,11500,2020-04-10
9009,46842,2020-04-10
9011,16273,2020-04-10
9013,10173,2020-04-10
9015,8572,2020-04-10
10001,13830,2020-04-10
10003,32138,2020-04-10
10005,17163,2020-04-10
11001,22133,2020-04-10
12001,19888,2020-04-10
12003,3521,2020-04-10
12005,16877,2020-04-10
12007,3687,2020-04-10
12009,49754,2020-04-10
12011,122392,2020-04-10
12015,18706,2020-04-10
12017,15289,2020-04-10
12019,23553,2020-04-10
12021,25753,2020-04-10
12023,8203,2020-04-10
12027,3226,2020-04-10
12031,75112,2020-04-10
12033,28885,2020-04-10
12035,10556,2020-04-10
12039,4226,2020-04-10
12041,2270,2020-04-10
12045,1748,2020-04-10
12049,2799,2020-04-10
12051,3717,2020-04-10
12053,19147,2020-04-10
12055,9175,2020-04-10
12057,107571,2020-04-10
12059,2408,2020-04-10
12061,13800,2020-04-10
12063,5618,2020-04-10
12069,36912,2020-04-10
12071,57476,2020-04-10
12073,21114,2020-04-10
12075,5105,2020-04-10
12079,2083,2020-04-10
12081,34586,2020-04-10
12083,34087,2020-04-10
12085,15613,2020-04-10
12086,134656,2020-04-10
12087,5970,2020-04-10
12089,10083,2020-04-10
12091,19848,2020-04-10
12093,4254,2020-04-10
12095,106960,2020-04-10
12097,32670,2020-04-10
12099,90527,2020-04-10
12101,53464,2020-04-10
12103,70277,2020-04-10
12105,59523,2020-04-10
12107,7884,2020-04-10
12109,28195,2020-04-10
12111,26722,2020-04-10
12113,20233,2020-04-10
12115,37035,2020-04-10
12117,42635,2020-04-10
12119,13458,2020-04-10
12121,5301,2020-04-10
12123,2160,2020-04-10
12127,46465,2020-04-10
12129,3951,2020-04-10
12131,9541,2020-04-10
12133,3320,2020-04-10
13001,2169,2020-04-10
13005,1738,2020-04-10
13009,4526,2020-04-10
13011,3853,2020-04-10
13013,11454,2020-04-10
13015,13574,2020-04-10
13017,2000,2020-04-10
13019,2430,2020-04-10
13021,14912,2020-04-10
13023,1686,2020-04-10
13025,2249,2020-04-10
13027,1936,2020-04-10
13029,5896,2020-04-10
13031,7084,2020-04-10
13033,3630,2020-04-10
13035,4298,2020-04-10
13039,5376,2020-04-10
13045,14113,2020-04-10
13047,10144,2020-04-10
13051,22097,2020-04-10
13055,2703,2020-04-10
13057,28953,2020-04-10
13059,9930,2020-04-10
13063,24015,2020-04-10
13067,61800,2020-04-10
13069,4770,2020-04-10
13071,4795,2020-04-10
13073,15699,2020-04-10
13075,2604,2020-04-10
13077,16756,2020-04-10
13081,2749,2020-04-10
13083,2581,2020-04-10
13085,5242,2020-04-10
13087,3572,2020-04-10
13089,51261,2020-04-10
13091,2094,2020-04-10
13095,8031,2020-04-10
13097,15644,2020-04-10
13103,7756,2020-04-10
13105,2485,2020-04-10
13107,2758,2020-04-10
13111,3314,2020-04-10
13113,14032,2020-04-10
13115,10763,2020-04-10
13117,28123,2020-04-10
13119,4359,2020-04-10
13121,78239,2020-04-10
13123,3829,2020-04-10
13127,8160,2020-04-10
13129,7192,2020-04-10
13131,2927,2020-04-10
13133,2764,2020-04-10
13135,74281,2020-04-10
13137,5804,2020-04-10
13139,21831,2020-04-10
13143,4372,2020-04-10
13145,5136,2020-04-10
13147,3529,2020-04-10
13151,24657,2020-04-10
13153,16079,2020-04-10
13157,11981,2020-04-10
13159,2421,2020-04-10
13161,1717,2020-04-10
13163,1954,2020-04-10
13169,3813,2020-04-10
13171,2459,2020-04-10
13175,5785,2020-04-10
13177,4591,2020-04-10
13179,5319,2020-04-10
13183,1903,2020-04-10
13185,11634,2020-04-10
13187,4024,2020-04-10
13189,2820,2020-04-10
13195,3855,2020-04-10
13199,2606,2020-04-10
13205,2562,2020-04-10
13207,4309,2020-04-10
13211,3378,2020-04-10
13213,4384,2020-04-10
13215,18018,2020-04-10
13217,12107,2020-04-10
13219,6349,2020-04-10
13221,1722,2020-04-10
13223,18971,2020-04-10
13225,4113,2020-04-10
13227,4639,2020-04-10
