state,device_count_t,date
AK,27377,2020-07-18
AK,27237,2020-07-19
AK,24468,2020-07-20
AK,24461,2020-07-21
AK,24126,2020-07-22
AK,24207,2020-07-23
AL,497118,2020-07-18
AL,482685,2020-07-19
AL,458112,2020-07-20
AL,457885,2020-07-21
AL,459716,2020-07-22
AL,466337,2020-07-23
AR,257903,2020-07-18
AR,255622,2020-07-19
AR,243630,2020-07-20
AR,243997,2020-07-21
AR,246740,2020-07-22
AR,250008,2020-07-23
AZ,350427,2020-07-18
AZ,351059,2020-07-19
AZ,327534,2020-07-20
AZ,324884,2020-07-21
AZ,324500,2020-07-22
AZ,333443,2020-07-23
CA,1363969,2020-07-18
CA,1349871,2020-07-19
CA,1281835,2020-07-20
CA,1281144,2020-07-21
CA,1280713,2020-07-22
CA,1274281,2020-07-23
CO,318190,2020-07-18
CO,319632,2020-07-19
CO,295205,2020-07-20
CO,293833,2020-07-21
CO,293253,2020-07-22
CO,297608,2020-07-23
CT,184024,2020-07-18
CT,182585,2020-07-19
CT,174015,2020-07-20
CT,173394,2020-07-21
CT,174643,2020-07-22
CT,178316,2020-07-23
DC,22341,2020-07-18
DC,20462,2020-07-19
DC,23028,2020-07-20
DC,23090,2020-07-21
DC,23159,2020-07-22
DC,24009,2020-07-23
DE,73581,2020-07-18
DE,71596,2020-07-19
DE,65107,2020-07-20
DE,63866,2020-07-21
DE,64638,2020-07-22
DE,66019,2020-07-23
FL,1460548,2020-07-18
FL,1428403,2020-07-19
FL,1394356,2020-07-20
FL,1385660,2020-07-21
FL,1394763,2020-07-22
FL,1414907,2020-07-23
GA,796360,2020-07-18
GA,784211,2020-07-19
GA,754880,2020-07-20
GA,754073,2020-07-21
GA,755343,2020-07-22
GA,759809,2020-07-23
HI,53228,2020-07-18
HI,52891,2020-07-19
HI,47061,2020-07-20
HI,46661,2020-07-21
HI,46432,2020-07-22
HI,47483,2020-07-23
IA,273283,2020-07-18
IA,269860,2020-07-19
IA,245859,2020-07-20
IA,247715,2020-07-21
IA,244286,2020-07-22
IA,245256,2020-07-23
ID,111519,2020-07-18
ID,111433,2020-07-19
ID,101231,2020-07-20
ID,100156,2020-07-21
ID,100675,2020-07-22
ID,103287,2020-07-23
IL,781906,2020-07-18
IL,797712,2020-07-19
IL,743143,2020-07-20
IL,740666,2020-07-21
IL,740734,2020-07-22
IL,737254,2020-07-23
IN,522631,2020-07-18
IN,534795,2020-07-19
IN,492418,2020-07-20
IN,485816,2020-07-21
IN,497225,2020-07-22
IN,491387,2020-07-23
KS,242416,2020-07-18
KS,243946,2020-07-19
KS,229274,2020-07-20
KS,229284,2020-07-21
KS,223483,2020-07-22
KS,223948,2020-07-23
KY,328428,2020-07-18
KY,326020,2020-07-19
KY,310985,2020-07-20
KY,308319,2020-07-21
KY,311956,2020-07-22
KY,316804,2020-07-23
LA,314693,2020-07-18
LA,310197,2020-07-19
LA,302852,2020-07-20
LA,302716,2020-07-21
LA,302650,2020-07-22
LA,304908,2020-07-23
MA,301886,2020-07-18
MA,302375,2020-07-19
MA,294121,2020-07-20
MA,291968,2020-07-21
MA,295105,2020-07-22
MA,303215,2020-07-23
MD,327075,2020-07-18
MD,325766,2020-07-19
MD,306328,2020-07-20
MD,308008,2020-07-21
MD,308153,2020-07-22
MD,314243,2020-07-23
ME,75832,2020-07-18
ME,76321,2020-07-19
ME,70310,2020-07-20
ME,69719,2020-07-21
ME,69241,2020-07-22
ME,71502,2020-07-23
MI,659654,2020-07-18
MI,670612,2020-07-19
MI,621577,2020-07-20
MI,609633,2020-07-21
MI,617206,2020-07-22
MI,617550,2020-07-23
MN,403384,2020-07-18
MN,385824,2020-07-19
MN,346800,2020-07-20
MN,356044,2020-07-21
MN,348240,2020-07-22
MN,350740,2020-07-23
MO,489860,2020-07-18
MO,498749,2020-07-19
MO,466704,2020-07-20
MO,462184,2020-07-21
MO,460998,2020-07-22
MO,461994,2020-07-23
MS,266253,2020-07-18
MS,258233,2020-07-19
MS,243442,2020-07-20
MS,243230,2020-07-21
MS,244364,2020-07-22
MS,247205,2020-07-23
MT,62979,2020-07-18
MT,63167,2020-07-19
MT,57505,2020-07-20
MT,57022,2020-07-21
MT,57372,2020-07-22
MT,59422,2020-07-23
NC,764703,2020-07-18
NC,744652,2020-07-19
NC,713236,2020-07-20
NC,708127,2020-07-21
NC,704235,2020-07-22
NC,718570,2020-07-23
ND,52769,2020-07-18
ND,52333,2020-07-19
ND,51014,2020-07-20
ND,50584,2020-07-21
ND,49916,2020-07-22
ND,50946,2020-07-23
NE,163595,2020-07-18
NE,164246,2020-07-19
NE,151106,2020-07-20
NE,149703,2020-07-21
NE,147473,2020-07-22
NE,148215,2020-07-23
NH,98987,2020-07-18
NH,98158,2020-07-19
NH,88726,2020-07-20
NH,87736,2020-07-21
NH,88546,2020-07-22
NH,91392,2020-07-23
NJ,503268,2020-07-18
NJ,497641,2020-07-19
NJ,473303,2020-07-20
NJ,473455,2020-07-21
NJ,472547,2020-07-22
NJ,482543,2020-07-23
NM,105343,2020-07-18
NM,102980,2020-07-19
NM,94291,2020-07-20
NM,93752,2020-07-21
NM,94953,2020-07-22
NM,96219,2020-07-23
NV,153848,2020-07-18
NV,154566,2020-07-19
NV,139890,2020-07-20
NV,137674,2020-07-21
NV,137268,2020-07-22
NV,139760,2020-07-23
NY,810093,2020-07-18
NY,815941,2020-07-19
NY,783889,2020-07-20
NY,782289,2020-07-21
NY,788320,2020-07-22
NY,802889,2020-07-23
OH,831222,2020-07-18
OH,853020,2020-07-19
OH,804319,2020-07-20
OH,796499,2020-07-21
OH,805252,2020-07-22
OH,813671,2020-07-23
OK,335843,2020-07-18
OK,336873,2020-07-19
OK,317735,2020-07-20
OK,319775,2020-07-21
OK,319176,2020-07-22
OK,322557,2020-07-23
OR,212314,2020-07-18
OR,213554,2020-07-19
OR,196700,2020-07-20
OR,196115,2020-07-21
OR,195120,2020-07-22
OR,197776,2020-07-23
PA,690835,2020-07-18
PA,700989,2020-07-19
PA,653982,2020-07-20
PA,654813,2020-07-21
PA,663128,2020-07-22
PA,672620,2020-07-23
RI,52688,2020-07-18
RI,51237,2020-07-19
RI,47864,2020-07-20
RI,47459,2020-07-21
RI,47694,2020-07-22
RI,48277,2020-07-23
SC,432364,2020-07-18
SC,420437,2020-07-19
SC,401016,2020-07-20
SC,399783,2020-07-21
SC,399164,2020-07-22
SC,403465,2020-07-23
SD,65740,2020-07-18
SD,66056,2020-07-19
SD,59211,2020-07-20
SD,58293,2020-07-21
SD,57430,2020-07-22
SD,59706,2020-07-23
TN,561317,2020-07-18
TN,550664,2020-07-19
TN,518804,2020-07-20
TN,520551,2020-07-21
TN,524497,2020-07-22
TN,531993,2020-07-23
TX,1951325,2020-07-18
TX,1940690,2020-07-19
TX,1869781,2020-07-20
TX,1872932,2020-07-21
TX,1874946,2020-07-22
TX,1896294,2020-07-23
UT,171035,2020-07-18
UT,170245,2020-07-19
UT,159102,2020-07-20
UT,157322,2020-07-21
UT,156040,2020-07-22
UT,158582,2020-07-23
VA,516051,2020-07-18
VA,509316,2020-07-19
VA,480269,2020-07-20
VA,481656,2020-07-21
VA,484667,2020-07-22
VA,491745,2020-07-23
VT,33273,2020-07-18
VT,34072,2020-07-19
VT,31163,2020-07-20
VT,30457,2020-07-21
VT,31020,2020-07-22
VT,31952,2020-07-23
WA,355277,2020-07-18
WA,358139,2020-07-19
WA,330653,2020-07-20
WA,330357,2020-07-21
WA,326902,2020-07-22
WA,331188,2020-07-23
WI,429128,2020-07-18
WI,420108,2020-07-19
WI,367738,2020-07-20
WI,370319,2020-07-21
WI,372253,2020-07-22
WI,372380,2020-07-23
WV,128862,2020-07-18
WV,127944,2020-07-19
WV,119083,2020-07-20
WV,118922,2020-07-21
WV,120397,2020-07-22
WV,122744,2020-07-23
WY,41653,2020-07-18
WY,43128,2020-07-19
WY,37092,2020-07-20
WY,36628,2020-07-21
WY,37551,2020-07-22
WY,38317,2020-07-23
