STATE_PRE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.979803,0.000122,0.000153,0.000654,0.000233,0.000302,3.5e-05,0.000173,8.8e-05,0.000183,0.000144,0.002079,7.9e-05,0.000967,0.000138,0.000117,0.000111,0.000184,0.000117,9.8e-05,0.000121,0.000223,0.000172,0.000455,0.000139,0.000103,0.001167,0.000137,0.000229,0.000232,7.3e-05,3.5e-05,0.000258,0.000834,7.2e-05,0.000118,0.000174,0.001056,8.3e-05,6.4e-05,0.000121,0.000361,0.000166,0.000178,0.000621,0.00012,0.000243,0.00213,0.000189,0.000116,0.000493
AL,0.005361,0.941982,0.029958,0.004216,0.00149,0.004646,0.001412,0.007142,0.002083,0.058687,0.095254,0.004829,0.004078,0.003376,0.007309,0.009903,0.005784,0.025455,0.065355,0.001629,0.003492,0.002332,0.002997,0.001933,0.013216,0.182967,0.007694,0.010163,0.00226,0.004859,0.001495,0.001788,0.011262,0.00507,0.001537,0.005301,0.013322,0.001298,0.002963,0.001241,0.014692,0.004742,0.086,0.00836,0.003719,0.006798,0.001579,0.001542,0.002677,0.005913,0.017624
AR,0.003378,0.014327,0.955561,0.005322,0.001663,0.00596,0.001077,0.002765,0.000987,0.005545,0.004571,0.002469,0.006451,0.003346,0.008254,0.006828,0.020085,0.008636,0.034854,0.000815,0.001839,0.001116,0.002587,0.002402,0.066608,0.048394,0.00678,0.002738,0.00429,0.008365,0.000693,0.001192,0.019061,0.004101,0.001004,0.003381,0.086105,0.00147,0.002343,0.000732,0.002968,0.006443,0.028224,0.018878,0.004015,0.003505,0.001397,0.001165,0.00318,0.003004,0.020951
AZ,0.015864,0.002267,0.005696,0.969895,0.027364,0.018114,0.001571,0.004838,0.00204,0.002942,0.00275,0.024081,0.006031,0.016122,0.005731,0.004443,0.00683,0.003025,0.003496,0.001803,0.002592,0.002183,0.002753,0.005799,0.006271,0.003267,0.016556,0.002328,0.007401,0.01023,0.001477,0.002139,0.08475,0.079401,0.001842,0.00296,0.010682,0.011005,0.00251,0.001368,0.002064,0.009123,0.004111,0.006988,0.043614,0.002742,0.002126,0.010482,0.004403,0.001883,0.031715
CA,0.018581,0.002773,0.005307,0.094523,0.991771,0.019857,0.003327,0.010886,0.002763,0.004242,0.004206,0.090305,0.005374,0.032155,0.006707,0.004609,0.006123,0.003427,0.004186,0.004074,0.0042,0.002679,0.003374,0.006179,0.005554,0.00357,0.023998,0.003338,0.006713,0.010674,0.00248,0.003676,0.03999,0.224156,0.003841,0.00325,0.008272,0.060201,0.003375,0.002863,0.002793,0.007139,0.005202,0.007724,0.045478,0.004423,0.002672,0.025535,0.003732,0.002073,0.044779
CO,0.010723,0.002226,0.005543,0.015672,0.006676,0.966877,0.001782,0.005299,0.001952,0.00366,0.002706,0.017693,0.010823,0.023439,0.005768,0.004296,0.026749,0.003184,0.003863,0.001681,0.002844,0.002406,0.002648,0.006604,0.009434,0.002824,0.039292,0.002379,0.016178,0.049941,0.001933,0.001755,0.075324,0.019695,0.001621,0.00312,0.010945,0.009675,0.002405,0.001304,0.002309,0.032628,0.003558,0.007188,0.040641,0.003302,0.00334,0.008061,0.005087,0.001862,0.235396
CT,0.000808,0.000576,0.000764,0.001114,0.000576,0.001017,0.940413,0.01175,0.014343,0.002415,0.001465,0.000758,0.00098,0.000907,0.00139,0.001563,0.000689,0.00112,0.000612,0.121421,0.007672,0.044975,0.000813,0.000662,0.000853,0.000657,0.001167,0.002445,0.000655,0.00115,0.056111,0.023463,0.001869,0.001319,0.052288,0.002034,0.000683,0.000422,0.009858,0.205198,0.002678,0.000644,0.001387,0.000526,0.000946,0.005036,0.073424,0.000411,0.000659,0.002443,0.003287
DC,0.000588,0.000466,0.000379,0.000529,0.000581,0.000821,0.003468,0.775992,0.024804,0.001398,0.001061,0.000823,0.000351,0.000208,0.000787,0.000828,0.000431,0.000688,0.00046,0.002623,0.13988,0.00191,0.000751,0.000534,0.000557,0.000438,0.000631,0.003209,0.000393,0.000753,0.001568,0.005083,0.000354,0.00091,0.003483,0.001158,0.000505,0.000352,0.005139,0.002641,0.002258,0.00049,0.000836,0.000495,0.000545,0.057951,0.00249,0.000549,0.000424,0.006748,0.000575
DE,0.000367,0.000448,0.000281,0.00046,0.000236,0.00045,0.006565,0.037555,0.889401,0.001258,0.000919,0.000433,0.000283,0.000342,0.000593,0.000852,0.000289,0.000581,0.000335,0.0036,0.111941,0.003151,0.000341,0.000292,0.000432,0.000373,0.000568,0.003615,0.000262,0.000522,0.002717,0.031753,0.000902,0.000672,0.0073,0.001083,0.000315,0.000203,0.046679,0.004199,0.002226,0.000335,0.0009,0.000279,0.000574,0.016709,0.004373,0.000167,0.000305,0.005987,0.001561
FL,0.013367,0.121778,0.023001,0.009073,0.00483,0.016169,0.019501,0.031392,0.019716,0.963096,0.097399,0.008294,0.010313,0.006693,0.020077,0.021194,0.011999,0.032767,0.047425,0.020905,0.021799,0.021905,0.016609,0.013604,0.019729,0.058624,0.012551,0.026841,0.006943,0.01248,0.018965,0.023666,0.011246,0.013493,0.022168,0.019137,0.015971,0.005256,0.020467,0.023288,0.034645,0.011623,0.045748,0.013134,0.011989,0.020812,0.014697,0.00638,0.013642,0.018669,0.020787
GA,0.012926,0.140401,0.013944,0.007378,0.00355,0.008625,0.007518,0.026035,0.010549,0.076658,0.960414,0.012365,0.00743,0.006529,0.011166,0.015045,0.007532,0.029237,0.017957,0.007113,0.014314,0.008682,0.009072,0.006352,0.011298,0.030673,0.014096,0.0492,0.00465,0.010983,0.006911,0.007874,0.012277,0.010949,0.007865,0.012553,0.008503,0.00384,0.00987,0.00754,0.142586,0.009304,0.097029,0.006545,0.009513,0.022565,0.009717,0.004265,0.008032,0.015285,0.026785
